@relation Gestures

@attribute Mean_GyroX numeric
@attribute Max_GyroX numeric
@attribute Min_Gyrox numeric
@attribute RMS_Gyrox numeric
@attribute Mean_AcclY numeric
@attribute Max_AcclY numeric
@attribute Min_AcclY numeric
@attribute RMS_AcclY numeric
@attribute Mean_AcclZ numeric
@attribute Max_AcclZ numeric
@attribute Min_AcclZ numeric
@attribute RMS_AcclZ numeric
@attribute Mean_AcclX numeric
@attribute Max_AcclX numeric
@attribute Min_AcclX numeric
@attribute RMS_AcclX numeric
@attribute Mean_GyroY numeric
@attribute Max_GyroY numeric
@attribute Min_GyroY numeric
@attribute RMS_GyroY numeric
@attribute Mean_GyroZ numeric
@attribute Max_GyroZ numeric
@attribute Min_GyroZ numeric
@attribute RMS_GyroZ numeric
@attribute result {straight,forward,straight_to_forward,forward_to_straight}

@data
0.010009,0.059365,-0.045085,0.031396,43.654419,45.700935,42.256935,43.660156,37.67556,38.542866,36.4282,37.678986,-54.804668,-52.675121,-56.218727,54.81089,-0.003308,0.036024,-0.048613,0.022523,-0.020791,0.057147,-0.09331,0.042428,straight
0.010009,0.059365,-0.045085,0.031396,43.654419,45.700935,42.256935,43.660156,37.67556,38.542866,36.4282,37.678986,-54.804668,-52.675121,-56.218727,54.81089,-0.003308,0.036024,-0.048613,0.022523,-0.020791,0.057147,-0.09331,0.042428,straight
0.010009,0.059365,-0.045085,0.031396,43.654419,45.700935,42.256935,43.660156,37.67556,38.542866,36.4282,37.678986,-54.804668,-52.675121,-56.218727,54.81089,-0.003308,0.036024,-0.048613,0.022523,-0.020791,0.057147,-0.09331,0.042428,straight
0.228966,0.863266,-0.019678,0.373697,47.649872,51.905109,44.754692,47.676651,35.26326,38.100395,24.985247,35.416355,-53.326347,-51.246193,-57.38332,53.346756,-0.033084,0.029552,-0.164315,0.057163,-0.046014,0.082807,-0.298537,0.119541,straight
0.228966,0.863266,-0.019678,0.373697,47.649872,51.905109,44.754692,47.676651,35.26326,38.100395,24.985247,35.416355,-53.326347,-51.246193,-57.38332,53.346756,-0.033084,0.029552,-0.164315,0.057163,-0.046014,0.082807,-0.298537,0.119541,straight
0.228966,0.863266,-0.019678,0.373697,47.649872,51.905109,44.754692,47.676651,35.26326,38.100395,24.985247,35.416355,-53.326347,-51.246193,-57.38332,53.346756,-0.033084,0.029552,-0.164315,0.057163,-0.046014,0.082807,-0.298537,0.119541,straight
0.228966,0.863266,-0.019678,0.373697,47.649872,51.905109,44.754692,47.676651,35.26326,38.100395,24.985247,35.416355,-53.326347,-51.246193,-57.38332,53.346756,-0.033084,0.029552,-0.164315,0.057163,-0.046014,0.082807,-0.298537,0.119541,straight
0.044212,0.351505,-0.10068,0.134165,48.92939,52.073669,44.909855,48.962875,23.386665,27.098001,13.511648,23.617393,-56.480259,-41.693794,-62.963055,56.632423,0.003216,0.097357,-0.154861,0.069366,-0.021368,0.165033,-0.245273,0.115441,straight
0.044212,0.351505,-0.10068,0.134165,48.92939,52.073669,44.909855,48.962875,23.386665,27.098001,13.511648,23.617393,-56.480259,-41.693794,-62.963055,56.632423,0.003216,0.097357,-0.154861,0.069366,-0.021368,0.165033,-0.245273,0.115441,straight
0.044212,0.351505,-0.10068,0.134165,48.92939,52.073669,44.909855,48.962875,23.386665,27.098001,13.511648,23.617393,-56.480259,-41.693794,-62.963055,56.632423,0.003216,0.097357,-0.154861,0.069366,-0.021368,0.165033,-0.245273,0.115441,straight
0.044212,0.351505,-0.10068,0.134165,48.92939,52.073669,44.909855,48.962875,23.386665,27.098001,13.511648,23.617393,-56.480259,-41.693794,-62.963055,56.632423,0.003216,0.097357,-0.154861,0.069366,-0.021368,0.165033,-0.245273,0.115441,straight
-0.021516,0.050031,-0.170615,0.060133,48.4566,51.372612,42.645779,48.504284,26.378477,27.72052,23.324549,26.404703,-55.762115,-50.614094,-57.594032,55.80257,-0.025451,0.01625,-0.141359,0.043912,0.009479,0.168988,-0.02729,0.047925,straight
-0.021516,0.050031,-0.170615,0.060133,48.4566,51.372612,42.645779,48.504284,26.378477,27.72052,23.324549,26.404703,-55.762115,-50.614094,-57.594032,55.80257,-0.025451,0.01625,-0.141359,0.043912,0.009479,0.168988,-0.02729,0.047925,straight
-0.021516,0.050031,-0.170615,0.060133,48.4566,51.372612,42.645779,48.504284,26.378477,27.72052,23.324549,26.404703,-55.762115,-50.614094,-57.594032,55.80257,-0.025451,0.01625,-0.141359,0.043912,0.009479,0.168988,-0.02729,0.047925,straight
-0.021516,0.050031,-0.170615,0.060133,48.4566,51.372612,42.645779,48.504284,26.378477,27.72052,23.324549,26.404703,-55.762115,-50.614094,-57.594032,55.80257,-0.025451,0.01625,-0.141359,0.043912,0.009479,0.168988,-0.02729,0.047925,straight
0.000228,0.072961,-0.062223,0.035601,46.577274,47.752388,45.143539,46.583336,28.840481,29.840937,27.768408,28.84454,-57.592072,-55.670898,-59.444355,57.598419,0.009182,0.086105,-0.051902,0.035006,-0.00564,0.084791,-0.073523,0.045647,straight
0.000228,0.072961,-0.062223,0.035601,46.577274,47.752388,45.143539,46.583336,28.840481,29.840937,27.768408,28.84454,-57.592072,-55.670898,-59.444355,57.598419,0.009182,0.086105,-0.051902,0.035006,-0.00564,0.084791,-0.073523,0.045647,straight
0.000228,0.072961,-0.062223,0.035601,46.577274,47.752388,45.143539,46.583336,28.840481,29.840937,27.768408,28.84454,-57.592072,-55.670898,-59.444355,57.598419,0.009182,0.086105,-0.051902,0.035006,-0.00564,0.084791,-0.073523,0.045647,straight
0.000228,0.072961,-0.062223,0.035601,46.577274,47.752388,45.143539,46.583336,28.840481,29.840937,27.768408,28.84454,-57.592072,-55.670898,-59.444355,57.598419,0.009182,0.086105,-0.051902,0.035006,-0.00564,0.084791,-0.073523,0.045647,straight
-0.071501,0.169635,-0.247449,0.122977,18.438551,33.622051,5.654435,20.145384,24.89731,27.53664,21.882202,24.958023,-71.407722,-65.451233,-74.432823,71.439774,0.047996,0.299987,-0.1814,0.152449,-0.309313,-0.074042,-0.496879,0.328072,forward
-0.071501,0.169635,-0.247449,0.122977,18.438551,33.622051,5.654435,20.145384,24.89731,27.53664,21.882202,24.958023,-71.407722,-65.451233,-74.432823,71.439774,0.047996,0.299987,-0.1814,0.152449,-0.309313,-0.074042,-0.496879,0.328072,forward
-0.071501,0.169635,-0.247449,0.122977,18.438551,33.622051,5.654435,20.145384,24.89731,27.53664,21.882202,24.958023,-71.407722,-65.451233,-74.432823,71.439774,0.047996,0.299987,-0.1814,0.152449,-0.309313,-0.074042,-0.496879,0.328072,forward
-0.071501,0.169635,-0.247449,0.122977,18.438551,33.622051,5.654435,20.145384,24.89731,27.53664,21.882202,24.958023,-71.407722,-65.451233,-74.432823,71.439774,0.047996,0.299987,-0.1814,0.152449,-0.309313,-0.074042,-0.496879,0.328072,forward
0.020689,0.1095,-0.036683,0.044055,5.93348,7.61395,4.564539,5.98721,20.188444,23.257504,18.501417,20.217394,-74.424492,-72.890877,-75.536118,74.426247,-0.030208,0.145735,-0.327849,0.129859,-0.012617,0.107135,-0.139863,0.055788,forward
0.020689,0.1095,-0.036683,0.044055,5.93348,7.61395,4.564539,5.98721,20.188444,23.257504,18.501417,20.217394,-74.424492,-72.890877,-75.536118,74.426247,-0.030208,0.145735,-0.327849,0.129859,-0.012617,0.107135,-0.139863,0.055788,forward
0.020689,0.1095,-0.036683,0.044055,5.93348,7.61395,4.564539,5.98721,20.188444,23.257504,18.501417,20.217394,-74.424492,-72.890877,-75.536118,74.426247,-0.030208,0.145735,-0.327849,0.129859,-0.012617,0.107135,-0.139863,0.055788,forward
0.020689,0.1095,-0.036683,0.044055,5.93348,7.61395,4.564539,5.98721,20.188444,23.257504,18.501417,20.217394,-74.424492,-72.890877,-75.536118,74.426247,-0.030208,0.145735,-0.327849,0.129859,-0.012617,0.107135,-0.139863,0.055788,forward
-0.002147,0.054186,-0.035338,0.02584,7.908318,8.41078,6.86692,7.919983,23.229378,23.657833,22.922297,23.230116,-73.447632,-72.984726,-74.017166,73.448044,-0.001092,0.038421,-0.026188,0.012687,-0.003945,0.036014,-0.035106,0.020284,forward
